scientific_name,common_names,category,park_name,observations,conservation_status
Plantago major,"Broadleaf Plantain, Buckhorn Plantain, Common Plantain, Great Plantain, Rippleseed Plantain",Vascular Plant,Great Smoky Mountains National Park,90,
Plantago major,"Nipple-Seed Plantain, Plantain",Vascular Plant,Great Smoky Mountains National Park,90,
Collinsonia canadensis,"Canada Horse-Balm, Stoneroot",Vascular Plant,Yosemite National Park,160,
Sedum integrifolium,Ledge Stonecrop,Vascular Plant,Great Smoky Mountains National Park,95,
Ageratina aromatica var. aromatica,Lesser Snakeroot,Vascular Plant,Great Smoky Mountains National Park,84,
Centaurea cyanus,"Bachelor's Button, Cornflower, Garden Cornflower",Vascular Plant,Bryce National Park,89,
Centaurea cyanus,"Batchelor's Button, Corn-Flower",Vascular Plant,Bryce National Park,89,
Eryngium prostratum,"Prostrate Eryngo, Rattlesnake-Master",Vascular Plant,Great Smoky Mountains National Park,81,
Zonotrichia albicollis,White-Throated Sparrow,Bird,Bryce National Park,83,
Bupleurum rotundifolium,Hare's Ear,Vascular Plant,Great Smoky Mountains National Park,65,
Oxytropis deflexa var. foliolosa,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Vascular Plant,Yosemite National Park,152,
Pyrrocoma integrifolia,"Entireleaf Goldenweed, Manysted Goldenweed, Many-Stemmed Goldenweed",Vascular Plant,Yellowstone National Park,225,
Symphyotrichum foliaceum var. canbyi,Canby's Aster,Vascular Plant,Great Smoky Mountains National Park,81,
Plagiobothrys torreyi var. torreyi,Torrey's Popcornflower,Vascular Plant,Yosemite National Park,148,
Notropis telescopus,Telescope Shiner,Fish,Great Smoky Mountains National Park,106,
Podostemum ceratophyllum,"Riverweed, Threadfoot",Vascular Plant,Yellowstone National Park,230,
Arctium lappa,"Great Burdock, Greater Burdock, Greater Burrdock, Woodland Burdock",Vascular Plant,Yosemite National Park,142,
Melica bulbosa,"Bulbous Oniongrass, Oniongrass",Vascular Plant,Great Smoky Mountains National Park,102,
Icterus spurius,Orchard Oriole,Bird,Great Smoky Mountains National Park,70,
Carex macloviana,"Falkland Island Sedge, Thickhead Sedge",Vascular Plant,Yosemite National Park,143,
Carex atherodes,"Awned Sedge, Slough Sedge, Wheat Sedge",Vascular Plant,Yellowstone National Park,240,
Ensatina eschscholtzii xanthoptica,Yellow-Eyed Ensatina,Amphibian,Bryce National Park,92,
Penstemon fruticosus,Bush Penstemon,Vascular Plant,Yosemite National Park,152,
Poa cuspidata,"Bluegrass, Woodland Bluegrass",Vascular Plant,Yellowstone National Park,245,
Aspidotis californica,California Lacefern,Vascular Plant,Yosemite National Park,139,
Mimulus leptaleus,"Least Monkeyflower, Slender Monkeyflower",Vascular Plant,Yellowstone National Park,201,
Lewisia congdonii,Congdon's Lewisia,Vascular Plant,Great Smoky Mountains National Park,105,
Epilobium saximontanum,"Rocky Mountain Willowherb, Rocky Mountain Willowweed",Vascular Plant,Bryce National Park,93,
Antennaria plantaginifolia,"Plantain-Leaf Pussytoes, Plantain-Leaved Pussy Toes",Vascular Plant,Great Smoky Mountains National Park,43,
Sagina saginoides,"Alpine Pearlwort, Arctic Pearlwort",Vascular Plant,Yellowstone National Park,216,
Paspalum urvillei,"Vasey Grass, Vasey-Grass",Vascular Plant,Bryce National Park,88,
Corallorrhiza wisteriana,"Coralroot, Spring Coralroot",Vascular Plant,Bryce National Park,77,
Corallorrhiza wisteriana,Spring Coralroot,Vascular Plant,Bryce National Park,77,
Houstonia purpurea var. calycosa,Venus' Pride,Vascular Plant,Bryce National Park,109,
Psiloscops flammeolus,Flammulated Owl,Bird,Yellowstone National Park,248,
Botrychium matricariifolium,"Daisy-Leaf Moonwort, Matricary Grapefern",Vascular Plant,Great Smoky Mountains National Park,60,
Rosa centifolia,Cabbage Rose,Vascular Plant,Great Smoky Mountains National Park,86,
Saccharum giganteum,"Sugar Cane Plumegrass, Tall Beardgrass",Vascular Plant,Bryce National Park,76,
Mimulus pulsiferae,Candelabrum Monkeyflower,Vascular Plant,Yosemite National Park,129,
Tamias umbrinus,Inyo Chipmunk,Mammal,Yellowstone National Park,212,
Tamias umbrinus,Uinta Chipmunk,Mammal,Yellowstone National Park,212,
Madia glomerata,"Cluster Tarweed, Mountain Tarplant, Mountain Tarweed",Vascular Plant,Great Smoky Mountains National Park,82,
Monarda clinopodia,"Basal Bee-Balm, Horse-Mint",Vascular Plant,Great Smoky Mountains National Park,90,
Dichanthelium clandestinum,"Deer-Tongue Witchgrass, Panic Grass",Vascular Plant,Yosemite National Park,159,
Lomatium macrocarpum,"Bigseed Biscuitroot, Bigseed Lomatium, Largefruit Biscuitroot, Large-Fruit Desert-Parsley, Long Mamma",Vascular Plant,Yellowstone National Park,247,
Arabis holboellii var. pendulocarpa,Dropseed Rockcress,Vascular Plant,Great Smoky Mountains National Park,81,
Fleischmannia incarnata,Pink Thoroughwort,Vascular Plant,Great Smoky Mountains National Park,51,
Pseudotriton,"Mud Salamanders, Red Salamanders, Red Salamanders &Amp; Mud Salamanders",Amphibian,Bryce National Park,108,
Astragalus lentiginosus var. ineptus,"Freckled Milkvetch, Homely Milkvetch",Vascular Plant,Bryce National Park,133,
Polygonatum biflorum var. biflorum,"King Solomon's Seal, Smooth Solomon's Seal",Vascular Plant,Great Smoky Mountains National Park,62,
Peromyscus gossypinus,Cotton Mouse,Mammal,Yosemite National Park,133,
Vaccinium membranaceum,"Mountain Bilberry, Thinleaf Huckleberry",Vascular Plant,Bryce National Park,94,
Oxytropis borealis var. viscida,"Sticky Crazyweed, Sticky Pointloco, Viscid Locoweed",Vascular Plant,Great Smoky Mountains National Park,76,
Thelia hirtella,Thelia Moss,Nonvascular Plant,Yellowstone National Park,273,
Blepharostoma trichophyllum,Blepharostoma,Nonvascular Plant,Great Smoky Mountains National Park,93,
Leptobryum pyriforme,Leptobryum Moss,Nonvascular Plant,Bryce National Park,130,
Hyoscyamus niger,"Black Henbane, Henbane",Vascular Plant,Great Smoky Mountains National Park,108,
Eriophyllum confertiflorum var. confertiflorum,Golden-Yarrow,Vascular Plant,Great Smoky Mountains National Park,99,
Mimulus mephiticus,"Foul Odor Monkeyflower, Foul-Odor Monkeyflower",Vascular Plant,Yosemite National Park,147,
Schoenoplectus acutus var. occidentalis,Tule,Vascular Plant,Bryce National Park,115,
Sterna caspia,Caspian Tern,Bird,Great Smoky Mountains National Park,82,
Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",Mammal,Yosemite National Park,133,
Taxiphyllum deplanatum,Taxiphyllum Moss,Nonvascular Plant,Great Smoky Mountains National Park,56,
Conimitella williamsii,Williams' Miterwort,Vascular Plant,Yosemite National Park,142,
Luzula comosa,Pacific Woodrush,Vascular Plant,Yellowstone National Park,244,
Capsella bursa-pastoris,"Common Shepherd's Purse, Shepherd's Purse",Vascular Plant,Bryce National Park,111,
Capsella bursa-pastoris,"Shepherdspurse, Shepherd's-Purse",Vascular Plant,Bryce National Park,111,
Piperia transversa,Royal Rein Orchid,Vascular Plant,Bryce National Park,135,
Nemophila aphylla,Nemophila,Vascular Plant,Bryce National Park,82,
Boykinia aconitifolia,Brook Saxifrage,Vascular Plant,Bryce National Park,97,
Aneura pinguis,Aneura,Nonvascular Plant,Yellowstone National Park,251,
Phacelia ramosissima var. subglabra,Branching Phacelia,Vascular Plant,Yellowstone National Park,252,
Samolus valerandi ssp. parviflorus,Samolus,Vascular Plant,Yosemite National Park,191,
Gilia capitata ssp. mediomontana,Foothill Gilia,Vascular Plant,Bryce National Park,93,
Streptopelia decaocto,Eurasian Collared Dove,Bird,Great Smoky Mountains National Park,72,
Streptopelia decaocto,"Eurasian Collared Dove, Eurasian Collared-Dove",Bird,Great Smoky Mountains National Park,72,
Streptopelia decaocto,Eurasian Collared-Dove,Bird,Great Smoky Mountains National Park,72,
Thalictrum venulosum,"Veiny Meadowrue, Veiny Meadow-Rue, Veiny-Leaf Meadow-Rue",Vascular Plant,Yellowstone National Park,224,
Navarretia intertexta ssp. intertexta,Needleleaf Navarretia,Vascular Plant,Yosemite National Park,194,
Otus asio,Eastern Screech-Owl,Bird,Great Smoky Mountains National Park,100,
Setophaga ruticilla,American Redstart,Bird,Yosemite National Park,133,
Fissidens taxifolius,Fissidens Moss,Nonvascular Plant,Bryce National Park,87,
Viburnum prunifolium,"Smooth Blackhaw, Smooth Black-Haw",Vascular Plant,Bryce National Park,102,
Cornus florida,Flowering Dogwood,Vascular Plant,Great Smoky Mountains National Park,38,
Calamagrostis stricta ssp. inexpansa,"Northern Reedgrass, Slim-Stem Reed Grass",Vascular Plant,Great Smoky Mountains National Park,64,
Ranunculus alismifolius var. alismellus,Plantainleaf Buttercup,Vascular Plant,Great Smoky Mountains National Park,90,
Pinus pungens,Table Mountain Pine,Vascular Plant,Yellowstone National Park,267,
Centrocercus urophasianus,"Greater Sage Grouse, Greater Sage-Grouse, Sage Grouse",Bird,Bryce National Park,135,
Centrocercus urophasianus,Greater Sage-Grouse,Bird,Bryce National Park,135,
Xerophyllum tenax,Common Beargrass,Vascular Plant,Great Smoky Mountains National Park,64,
Melilotus alba,White Sweetclover,Vascular Plant,Great Smoky Mountains National Park,66,
Houstonia purpurea,"Purple Bluet, Woodland Bluets",Vascular Plant,Yellowstone National Park,254,
Salvelinus fontinalis,"Aurora Trout, Brook Trout, Charr, Coaster Brook Trout, Salter, Sea Trout",Fish,Yellowstone National Park,243,
Salvelinus fontinalis,Brook Trout,Fish,Yellowstone National Park,243,
Draba lonchocarpa var. lonchocarpa,Lancepod Draba,Vascular Plant,Yellowstone National Park,232,
Mitchella repens,"Partridgeberry, Partridge-Berry",Vascular Plant,Great Smoky Mountains National Park,71,
Campanula rapunculoides,"Creeping Bellflower, Rampion Bellflower, Rover Bellflower",Vascular Plant,Great Smoky Mountains National Park,83,
Delphinium bicolor ssp. bicolor,Little Larkspur,Vascular Plant,Bryce National Park,91,
Melanitta perspicillata,Surf Scoter,Bird,Bryce National Park,132,
Polygonum aviculare,Bird Knotweed,Vascular Plant,Yellowstone National Park,231,
Polygonum aviculare,"Prostrate Knotweed, Yard Knotweed",Vascular Plant,Yellowstone National Park,231,
Bombycilla garrulus,Bohemian Waxwing,Bird,Great Smoky Mountains National Park,62,
Bulbostylis capillaris,"Bulbostylis, Dense-Tuft Hair-Sedge",Vascular Plant,Yellowstone National Park,262,
Bulbostylis capillaris,"Densetuft Hairsedge, Threadleaf Beakseed",Vascular Plant,Yellowstone National Park,262,
Erigeron peregrinus var. callianthemus,Subalpine Fleabane,Vascular Plant,Yosemite National Park,156,
Veronica wormskjoldii,American Alpine Speedwell,Vascular Plant,Bryce National Park,112,
Pylodictis olivaris,Flathead Catfish,Fish,Bryce National Park,89,
Sterna hirundo,Common Tern,Bird,Bryce National Park,109,Species of Concern
Salix lasiandra var. caudata,Greenleaf Willow,Vascular Plant,Bryce National Park,124,
Aira caryophyllea,Silver Hairgrass,Vascular Plant,Yellowstone National Park,222,
Empidonax minimus,Least Flycatcher,Bird,Yosemite National Park,120,
Crotalus oreganus oreganus,Northern Pacific Rattlesnake,Reptile,Bryce National Park,114,
Alnus rhombifolia,"Rhombie Leaf Alder, White Alder",Vascular Plant,Yosemite National Park,168,
Viola labradorica,Alpine Violet,Vascular Plant,Yellowstone National Park,216,
Comandra umbellata,Bastard Toadflax,Vascular Plant,Great Smoky Mountains National Park,42,
Lactuca serriola,"China Lettuce, Prickly Lettuce, Wild Lettuce",Vascular Plant,Bryce National Park,121,
Lactuca serriola,Prickly Lettuce,Vascular Plant,Bryce National Park,121,
Carex neurophora,"Alpine Nerve Sedge, Alpine Nerved Sedge, Alpinenerved Sedge",Vascular Plant,Great Smoky Mountains National Park,55,
Lupinus adsurgens,Drew's Silky Lupine,Vascular Plant,Yellowstone National Park,253,
Zapus princeps,Western Jumping Mouse,Mammal,Bryce National Park,80,
Cyprinella galacturus,Whitetail Shiner,Fish,Yosemite National Park,143,
Vinca major,"Bigleaf Periwinkle, Greater Periwinkle, Periwinkle",Vascular Plant,Bryce National Park,74,
Vinca major,Large Periwinkle,Vascular Plant,Bryce National Park,74,
Oporornis agilis,Connecticut Warbler,Bird,Great Smoky Mountains National Park,92,
Cordylanthus tenuis ssp. tenuis,"Slender Bird's Beak, Slender Bird'sbeak",Vascular Plant,Bryce National Park,91,
Packera anonyma,Small's Ragwort,Vascular Plant,Great Smoky Mountains National Park,110,
Etheostoma chlorobranchium,Greenfin Darter,Fish,Yellowstone National Park,256,
Phacelia ramosissima,"Branched Scorpion-Weed, Branching Phacelia",Vascular Plant,Yellowstone National Park,245,
Cystopteris bulbifera,Bulblet Fern,Vascular Plant,Yosemite National Park,184,
Sisymbrium officinale,"Hairy-Pod Hedgemustard, Hedge-Mustard",Vascular Plant,Bryce National Park,107,
Sisymbrium officinale,"Hairypod Hedgemustard, Hedge Mustard, Hedge Tumblemustard, Hedgemustard, Hedge-Mustard, Hedgeweed, Wild Mustard",Vascular Plant,Bryce National Park,107,
Lomatium ambiguum,Wyeth Biscuitroot,Vascular Plant,Great Smoky Mountains National Park,98,
Oxalis violacea,"Purple Woodsorrel, Violet Woodsorrel, Violet Wood-Sorrel",Vascular Plant,Yellowstone National Park,234,
Oxalis violacea,Violet Wood-Sorrel,Vascular Plant,Yellowstone National Park,234,
Rudbeckia hirta var. pulcherrima,"Blackeyed Susan, Pinewoods Coneflower",Vascular Plant,Bryce National Park,124,
Rudbeckia hirta var. pulcherrima,Narrow-Leaved Black-Eyed Susan,Vascular Plant,Bryce National Park,124,
Anthemis tinctoria,Golden Chamomile,Vascular Plant,Yellowstone National Park,270,
Percina caprodes,Logperch,Fish,Yellowstone National Park,228,
Tilia americana,American Basswood,Vascular Plant,Yosemite National Park,139,
Polystichum munitum,Western Swordfern,Vascular Plant,Great Smoky Mountains National Park,115,
Lespedeza frutescens,Shrubby Lespedeza,Vascular Plant,Yosemite National Park,141,
Ratibida pinnata,Pinnate Prairie Coneflower,Vascular Plant,Bryce National Park,113,
Paspalum laeve,Field Paspalum,Vascular Plant,Bryce National Park,75,
Epilobium ciliatum,"Fringed Willowherb, Hairy Willowherb, Hairy Willowweed",Vascular Plant,Yosemite National Park,149,
Chimaphila umbellata,"Pipsissewa, Prince's Pine",Vascular Plant,Great Smoky Mountains National Park,73,
Muhlenbergia sylvatica,Woodland Muhly,Vascular Plant,Yosemite National Park,129,
Sedum sarmentosum,"Stonecrop, Stringy Stonecrop",Vascular Plant,Yellowstone National Park,238,
Elymus trachycaulus var. trachycaulus,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",Vascular Plant,Yellowstone National Park,272,
Elodea nuttallii,Waterweed,Vascular Plant,Great Smoky Mountains National Park,99,
Elodea nuttallii,Western Waterweed,Vascular Plant,Great Smoky Mountains National Park,99,
Petrochelidon pyrrhonota,"American Cliff Swallow, Cliff Swallow",Bird,Yellowstone National Park,194,
Petrochelidon pyrrhonota,Cliff Swallow,Bird,Yellowstone National Park,194,
Pseudotriton ruber ruber,Northern Red Salamander,Amphibian,Yosemite National Park,183,
Arabis laevigata,Smooth Rockcress,Vascular Plant,Yellowstone National Park,266,
Phlox subulata,Moss Phlox,Vascular Plant,Yosemite National Park,119,
Carex paysonis,"Payson Sedge, Payson's Sedge",Vascular Plant,Yellowstone National Park,272,
Sisyrinchium elmeri,"Elmer's Blueeyed Grass, Elmer's Blue-Eyed Grass, Elmer's Blue-Eyed-Grass",Vascular Plant,Great Smoky Mountains National Park,90,
Arabis inyoensis,Inyo Rockcress,Vascular Plant,Yosemite National Park,156,
Sagittaria australis,Longbeak Arrowhead,Vascular Plant,Yellowstone National Park,262,
Sciurus niger,"Eastern Fox Squirrel, Fox Squirrel",Mammal,Yellowstone National Park,254,
Thelypodium integrifolium,"Entireleaf Thelypody, Entire-Leaf Thelypody, Entireleaved Thelypody, Smoothleaved Thelypody",Vascular Plant,Bryce National Park,128,
Poa trivialis,"Bluegrass, Scribner Bluegrass",Vascular Plant,Yosemite National Park,161,
Poa trivialis,Rough Bluegrass,Vascular Plant,Yosemite National Park,161,
Storeria dekayi wrightorum,Midland Brown Snake,Reptile,Great Smoky Mountains National Park,75,
Bos taurus,"Aurochs, Aurochs, Domestic Cattle (Feral), Domesticated Cattle",Mammal,Yellowstone National Park,235,
Botaurus lentiginosus,American Bittern,Bird,Yellowstone National Park,225,Species of Concern
Calocedrus decurrens,Incense Cedar,Vascular Plant,Great Smoky Mountains National Park,60,
Selaginella hansenii,Hansen's Spikemoss,Vascular Plant,Great Smoky Mountains National Park,57,
Tephrosia virginiana,"Goat's Rue, Goat's-Rue",Vascular Plant,Yosemite National Park,118,
Carex specifica,Narrowfruit Sedge,Vascular Plant,Great Smoky Mountains National Park,69,
Trillium cuneatum,"Little Sweet Trillium, Sessile-Flowered Maroon Trillium",Vascular Plant,Yellowstone National Park,231,
Canis lupus,Gray Wolf,Mammal,Great Smoky Mountains National Park,15,Endangered
Canis lupus,"Gray Wolf, Wolf",Mammal,Great Smoky Mountains National Park,15,Endangered
Canis lupus,"Gray Wolf, Wolf",Mammal,Great Smoky Mountains National Park,15,In Recovery
Juncus gymnocarpus,"Few-Seeded Rush, Naked-Fruited Rush",Vascular Plant,Yellowstone National Park,286,
Erimonax monachus,Spotfin Chub,Fish,Bryce National Park,46,Threatened
Ageratina altissima,White Snakeroot,Vascular Plant,Yellowstone National Park,254,
Phoradendron pauciflorum,Fir Mistletoe,Vascular Plant,Yellowstone National Park,242,
Castilleja lemmonii,"Lemmon's Indian Paintbrush, Lemmon's Paintbrush",Vascular Plant,Bryce National Park,118,
Lupinus albicaulis,Sicklekeel Lupine,Vascular Plant,Yosemite National Park,175,
Poncirus trifoliata,Trifoliate Orange,Vascular Plant,Yosemite National Park,124,
Plantago lanceolata,"Buckhorn Plantain, English Plantain, Lanceleaf Indianwheat, Lanceleaf Plantain, Narrowleaf Plantain, Ribgrass, Ribwort",Vascular Plant,Yosemite National Park,119,
Plantago lanceolata,"English Plantain, Ribgrass",Vascular Plant,Yosemite National Park,119,
Juncus mexicanus,Mexican Rush,Vascular Plant,Yellowstone National Park,243,
Diphyscium foliosum,Diphyscium Moss,Nonvascular Plant,Bryce National Park,95,
Stellaria longipes var. longipes,"Chickweed, Longstalk Starwort",Vascular Plant,Yosemite National Park,173,
Cynodon dactylon,"Bermuda Grass, Bermuda-Grass",Vascular Plant,Great Smoky Mountains National Park,63,
Cynodon dactylon,"Bermudagrass, Chiendent Pied-De-Poule, Common Bermudagrass, Devilgrass, Grama-Seda, Manienie, Motie Molulu",Vascular Plant,Great Smoky Mountains National Park,63,
Sayornis saya,Say's Phoebe,Bird,Yellowstone National Park,224,
Catherpes mexicanus,Canyon Wren,Bird,Bryce National Park,75,
Plethodon jordani,"Appalachian Salamander, Jordan's Salamander",Amphibian,Great Smoky Mountains National Park,43,
Hypericum perforatum,"A St. John's-Wort, Common St. John's-Wort",Vascular Plant,Bryce National Park,106,
Hypericum perforatum,"Common St. John's Wort, Common St. Johnswort, Klamath Weed, Klamathweed, St. John's Wort, St. Johnswort",Vascular Plant,Bryce National Park,106,
Vulpia microstachys var. pauciflora,Pacific Fescue,Vascular Plant,Bryce National Park,56,
Sphagnum girgensohnii,Girgensohn's Sphagnum,Nonvascular Plant,Yellowstone National Park,225,
Stylosanthes biflora,"Pencil Flower, Pencilflower",Vascular Plant,Yosemite National Park,140,
Quercus phellos,Willow Oak,Vascular Plant,Yosemite National Park,125,
Leskea gracilescens,Leskea Moss,Nonvascular Plant,Great Smoky Mountains National Park,57,
Elephantopus carolinianus,"Carolina Elephant-Foot, Carolina Tobaccoweed",Vascular Plant,Yosemite National Park,160,
Platanthera clavellata,"Green Woodland Orchid, Small Green Woodland Orchis",Vascular Plant,Yellowstone National Park,306,
Symphoricarpos oreophilus var. utahensis,Utah Snowberry,Vascular Plant,Great Smoky Mountains National Park,80,
Lithobates catesbeianus,Bullfrog,Amphibian,Yellowstone National Park,267,
Achnatherum occidentale ssp. californicum,California Needlegrass,Vascular Plant,Great Smoky Mountains National Park,93,
Rana catesbeiana,American Bullfrog,Amphibian,Yosemite National Park,123,
Rana catesbeiana,"American Bullfrog, Bullfrog",Amphibian,Yosemite National Park,123,
Chaetodipus californicus,California Pocket Mouse,Mammal,Yosemite National Park,145,
Ericameria bloomeri,"Bloomer's Goldenbush, Rabbitbush",Vascular Plant,Great Smoky Mountains National Park,94,
Malva nicaeensis,Bull Mallow,Vascular Plant,Yellowstone National Park,269,
Ensatina eschscholtzii platensis,Sierra Nevada Ensatina,Amphibian,Yosemite National Park,173,
Carex rossii,"Ross Sedge, Ross' Sedge, Ross's Sedge, Shortstemmed Sedge",Vascular Plant,Yosemite National Park,162,
Callicarpa americana,"Beauty-Berry, French Mulberry",Vascular Plant,Great Smoky Mountains National Park,44,
Phacelia ramosissima,"Branched Scorpion-Weed, Branching Phacelia",Vascular Plant,Bryce National Park,86,
Hulsea nana,Dwarf Alpinegold,Vascular Plant,Yellowstone National Park,238,
Atrichum oerstedianum,Oersted's Atrichum Moss,Nonvascular Plant,Yellowstone National Park,244,
Acer rubrum var. trilobum,Trident Maple,Vascular Plant,Yosemite National Park,110,
Phlox paniculata,Summer Phlox,Vascular Plant,Yosemite National Park,120,
Eriophorum gracile,"Slender Cottongrass, Slender Cotton-Grass, Slender Cottonsedge",Vascular Plant,Bryce National Park,100,
Disporum hookeri,Drops Of Gold,Vascular Plant,Yosemite National Park,139,
Rhododendron periclymenoides,"Pink Azalea, Pinxter-Bush",Vascular Plant,Bryce National Park,70,
Homo sapiens,"Human, Humans, Man",Mammal,Bryce National Park,102,
Nycticorax nycticorax,Black-Crowned Night Heron,Bird,Yosemite National Park,125,Species of Concern
Nycticorax nycticorax,Black-Crowned Night-Heron,Bird,Yosemite National Park,125,Species of Concern
Vaccinium erythrocarpum,"Mountain Cranberry-Bush, Southern Mountain Cranberry",Vascular Plant,Bryce National Park,114,
Ulota coarctata,Ulota Moss,Nonvascular Plant,Great Smoky Mountains National Park,65,
Erigeron clokeyi,"Clokey's Daisy, Clokey's Fleabane",Vascular Plant,Great Smoky Mountains National Park,121,
Prenanthes trifoliolata,"Lion's Foot, Three-Leaved Rattlesnake-Root",Vascular Plant,Bryce National Park,143,
Yucca glauca,"Beargrass, Great Plains Yucca, Small Soapweed, Soapweed Yucca, Spanish Bayonet, Yucca",Vascular Plant,Bryce National Park,130,
Entodon concinnus,Entodon Moss,Nonvascular Plant,Yellowstone National Park,289,
Muhlenbergia andina,Foxtail Muhly,Vascular Plant,Yellowstone National Park,235,
Horkelia californica ssp. dissita,California Horkelia,Vascular Plant,Yellowstone National Park,205,
Herniaria hirsuta ssp. hirsuta,Hairy Rupturewort,Vascular Plant,Yellowstone National Park,255,
Carex nigromarginata,"Black-Edge Sedge, Black-Margined Sedge",Vascular Plant,Yosemite National Park,179,
Phalacroseris bolanderi,Bolander's Mock Dandelion,Vascular Plant,Great Smoky Mountains National Park,81,
Catharus fuscescens,Veery,Bird,Bryce National Park,119,
Catharus ustulatus,Swainson's Thrush,Bird,Bryce National Park,85,
Cygnus columbianus,Tundra Swan,Bird,Yosemite National Park,166,
Sphagnum squarrosum,Sphagnum,Nonvascular Plant,Bryce National Park,86,
Puccinellia distans,"European Alkaligrass, Spreading Alkali Grass, Weeping Alkaligrass",Vascular Plant,Bryce National Park,64,
Moxostoma duquesnei,Black Redhorse,Fish,Bryce National Park,112,
Juncus effusus var. solutus,Lamp Rush,Vascular Plant,Bryce National Park,95,
Prosartes lanuginosum,Yellow Mandarin,Vascular Plant,Yellowstone National Park,244,
Ceratophyllum demersum,"Common Hornwort, Coon's Tail, Coon's-Tail, Coontail, Hornwort",Vascular Plant,Great Smoky Mountains National Park,67,
Potamogeton filiformis,"Filiform Pondweed, Fineleaf Pondweed, Threadleaf Pondweed",Vascular Plant,Bryce National Park,81,
Potentilla gracilis var. fastigiata,"Northwest Cinquefoil, Nuttall's Cinquefoil, Slender Cinquefoil",Vascular Plant,Great Smoky Mountains National Park,74,
Papaver hybridum,Round Pricklyhead Poppy,Vascular Plant,Great Smoky Mountains National Park,82,
Spiranthes ochroleuca,"Yellow Nodding Ladies'-Tresses, Yellow Nodding Lady's Tresses",Vascular Plant,Yellowstone National Park,245,
Sphyrapicus ruber,Red-Breasted Sapsucker,Bird,Yellowstone National Park,229,
Polypogon maritimus,Mediterranean Rabbitsfoot Grass,Vascular Plant,Yosemite National Park,178,
Archilochus colubris,Ruby-Throated Hummingbird,Bird,Yosemite National Park,147,
Thaspium trifoliatum var. trifoliatum,Purple Meadow-Parsnip,Vascular Plant,Bryce National Park,81,
Rhabdoweisia crispata,Rhabdoweisia Moss,Nonvascular Plant,Great Smoky Mountains National Park,79,
Mustela erminea,Ermine,Mammal,Yosemite National Park,146,
Mustela erminea,"Ermine, Short Tailed Weasel",Mammal,Yosemite National Park,146,
Pyrola minor,"Lesser Wintergreen, Snowline Wintergreen",Vascular Plant,Great Smoky Mountains National Park,76,
Acer negundo,"Boxelder, Box-Elder",Vascular Plant,Great Smoky Mountains National Park,72,
Acris crepitans crepitans,Northern Cricket Frog,Amphibian,Yosemite National Park,132,
Cottus carolinae,Banded Sculpin,Fish,Bryce National Park,65,
Canis lupus,Gray Wolf,Mammal,Yellowstone National Park,60,Endangered
Canis lupus,"Gray Wolf, Wolf",Mammal,Yellowstone National Park,60,Endangered
Canis lupus,"Gray Wolf, Wolf",Mammal,Yellowstone National Park,60,In Recovery
Aureolaria pedicularia,Fernleaf Yellow False Foxglove,Vascular Plant,Great Smoky Mountains National Park,86,
Pipistrellus subflavus,Eastern Pipistrelle,Mammal,Yellowstone National Park,262,
Houstonia purpurea var. calycosa,Venus' Pride,Vascular Plant,Yosemite National Park,162,
Carex grisea,Inflated Narrow-Leaf Sedge,Vascular Plant,Yosemite National Park,157,
Matelea gonocarpos,"Angular-Fruited Milkvine, Climbing Milkweed",Vascular Plant,Yosemite National Park,155,
Gayophytum ramosissimum,"Muchbranched Groundsmoke, Pinyon Groundsmoke",Vascular Plant,Bryce National Park,101,
Haemorhous mexicanus,House Finch,Bird,Yellowstone National Park,280,
Opheodrys aestivus aestivus,Eastern Rough Green Snake,Reptile,Great Smoky Mountains National Park,69,
Phacelia purpusii,Purpus' Phacelia,Vascular Plant,Yellowstone National Park,301,
Asarum lemmonii,Lemmon's Wildginger,Vascular Plant,Bryce National Park,80,
Ovis canadensis sierrae,Sierra Nevada Bighorn Sheep,Mammal,Yosemite National Park,39,Endangered
Clematis viorna,"Leatherflower, Vase-Vine Leather-Flower",Vascular Plant,Yellowstone National Park,242,
Eleocharis flavescens var. thermalis,Yellow Spikerush,Vascular Plant,Great Smoky Mountains National Park,81,
Castor canadensis,American Beaver,Mammal,Yosemite National Park,149,
Castor canadensis,"American Beaver, Beaver",Mammal,Yosemite National Park,149,
Castor canadensis,Beaver,Mammal,Yosemite National Park,149,
Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,Reptile,Yosemite National Park,152,
Carex aquatilis,Water Sedge,Vascular Plant,Yellowstone National Park,248,
Carex corrugata,Prune-Fruit Sedge,Vascular Plant,Great Smoky Mountains National Park,77,
Penstemon attenuatus var. pseudoprocerus,Small Penstemon,Vascular Plant,Great Smoky Mountains National Park,66,
Artemisia cana ssp. bolanderi,"Bolander's Silver Sagebrush, Silver Sagebrush",Vascular Plant,Bryce National Park,144,
Scrophularia marilandica,"Carpenter's Square Figwort, Figwort",Vascular Plant,Yellowstone National Park,270,
Mazus pumilus,Mazus,Vascular Plant,Yellowstone National Park,265,
Arabis laevigata var. burkii,"Burk's Rockcress, Porter's Rockcress",Vascular Plant,Yosemite National Park,153,
Brickellia eupatorioides var. eupatorioides,False Boneset,Vascular Plant,Yellowstone National Park,265,
